,pairID,premise,hypothesis,propositional_logic_rule
0,2677109430.jpg#1r1e,The church is filled with song.,Either the church is filled with song or the church is not filled with song. ,Disjunction
1,2677109430.jpg#1r1e,The church is filled with song.,Both the church is filled with song and the church is not filled with song. ,Conjunction
2,6160193920.jpg#4r1e,The woman is very happy.,Either the woman is very happy or the woman is not very happy. ,Disjunction
3,6160193920.jpg#4r1e,The woman is very happy.,Both the woman is very happy and the woman is not very happy. ,Conjunction
4,4791890474.jpg#3r1e,A man poses in front of an ad.,Either a man poses in front of an ad or no man poses in front of an ad. ,Disjunction
5,4791890474.jpg#3r1e,A man poses in front of an ad.,Both a man poses in front of an ad and no man poses in front of an ad. ,Conjunction
6,6526219567.jpg#4r1e,There is a statue that not many people seem to be interested in.,Either there is a statue that not many people seem to be interested in or there is not a statue that many people seem to be interested in. ,Disjunction
7,6526219567.jpg#4r1e,There is a statue that not many people seem to be interested in.,Both there is a statue that not many people seem to be interested in and there is not a statue that many people seem to be interested in. ,Conjunction
8,2832076014.jpg#2r1n,A land rover is splashing water as it crosses a river.,Either a land rover is splashing water as it crosses a river or no land rover is splashing water as it crosses a river. ,Disjunction
9,2832076014.jpg#2r1n,A land rover is splashing water as it crosses a river.,Both a land rover is splashing water as it crosses a river and no land rover is splashing water as it crosses a river. ,Conjunction
10,2832076014.jpg#2r1e,A vehicle is crossing a river.,Either a vehicle is crossing a river or no vehicle is crossing a river. ,Disjunction
11,2832076014.jpg#2r1e,A vehicle is crossing a river.,Both a vehicle is crossing a river and no vehicle is crossing a river. ,Conjunction
12,1034985636.jpg#3r1e,A man playing guitar on stage.,Either a man playing guitar on stage or no man is playing guitar on stage. ,Disjunction
13,1034985636.jpg#3r1e,A man playing guitar on stage.,Both a man playing guitar on stage and no man is playing guitar on stage. ,Conjunction
14,3856149623.jpg#1r1e,A doctor is looking at a book.,Either a doctor is looking at a book or no doctor is looking at a book. ,Disjunction
15,3856149623.jpg#1r1e,A doctor is looking at a book.,Both a doctor is looking at a book and no doctor is looking at a book. ,Conjunction
16,3827316480.jpg#0r1e,A tan girl runs leans over an object.,Either a tan girl runs leans over an object or no tan girl runs leans over an object. ,Disjunction
17,3827316480.jpg#0r1e,A tan girl runs leans over an object.,Both a tan girl runs leans over an object and no tan girl runs leans over an object. ,Conjunction
